Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
98,G.GB3KE,145.687500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
99,G.GB3KW,430.825000,+,7.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
100,G.GB7EA,439.375000,-,9.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
101,G.GB3GL,430.900000,+,7.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
102,G.GB3DM,430.920000,+,7.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
103,S20,145.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
104,S21,145.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
105,S22,145.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
106,PACKET,144.937500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
107,APRS,144.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
